Model Name,Date,Batch Size,Epochs,Loss,Accuracy,True Positives,True Negatives,False Positives,False Negatives,AUC,Validation Loss,Validation Accuracy,Validation True Positives,Validation True Negatives,Validation False Positives,Validation False Negatives,Validation AUC
base,17/04/2020 14:47,32,10,0.1931085506032368,0.9388535022735596,129058.0,129061.0,8414.0,8397.0,0.9760793447494508,0.14221620484356345,0.9574907422065736,6846.0,7074.0,404.0,214.0,0.9834268093109132
square,17/04/2020 15:02,32,10,0.40091885051749016,0.7774233222007751,107620.0,106117.0,29852.0,31341.0,0.892195999622345,0.16346715702481174,0.9499243497848512,6947.0,6863.0,303.0,425.0,0.9844291806221008
taylor_sigmoid,17/04/2020 15:23,32,10,0.4223561414239519,0.780100405216217,108149.0,106324.0,29323.0,31134.0,0.8821250200271606,0.19254946602081266,0.9354106187820436,6744.0,6855.0,506.0,433.0,0.9755260348320008
chebyshev_sigmoid,17/04/2020 15:46,32,10,0.434983912078134,0.7768959403038025,107897.0,105695.0,29575.0,31763.0,0.8774142265319824,0.2019812409734116,0.9283945560455322,6825.0,6672.0,425.0,616.0,0.9745418429374696
taylor_tanh,17/04/2020 16:11,32,10,0.19180504718844674,0.9363837838172911,128762.0,128678.0,8710.0,8780.0,0.9755743741989136,0.15775136995231914,0.9484110474586488,6820.0,6968.0,430.0,320.0,0.9810302853584291
chebyshev_tanh,17/04/2020 16:59,32,10,,0.4999709129333496,16.0,137441.0,137456.0,17.0,5.8846481465479876e-08,,0.5013068914413452,0.0,7288.0,7250.0,0.0,0.0
taylor_relu,17/04/2020 17:21,32,10,0.22518466214400365,0.9287346005439758,127744.0,127593.0,9728.0,9865.0,0.970831573009491,0.17667253642724914,0.9380932450294496,6891.0,6747.0,359.0,541.0,0.9795721173286438
chebyshev_relu,17/04/2020 17:46,32,10,0.2302516751079419,0.926494002342224,128373.0,126348.0,9099.0,11110.0,0.9694990515708924,0.17618941113789416,0.9409822821617126,6742.0,6938.0,508.0,350.0,0.9790217280387878
chebyshev_integral_relu,17/04/2020 18:12,32,10,0.2500578079013164,0.9027097821235656,124461.0,123721.0,13011.0,13737.0,0.9625412225723268,0.16678648559185186,0.9431833624839784,6866.0,6846.0,384.0,442.0,0.9797579050064088
base,20/04/2020 09:37,32,10,0.19235736879094684,0.9383952021598816,129186.0,128807.0,8240.0,8697.0,0.976188063621521,0.14544858827352655,0.9554959535598755,6931.0,6960.0,365.0,282.0,0.9830271601676941
square,20/04/2020 09:52,32,10,0.4220640658881333,0.7572473287582397,118913.0,89277.0,18513.0,48227.0,0.876695990562439,0.15029135451473122,0.9544641375541687,6962.0,6914.0,334.0,328.0,0.9825937747955322
taylor_sigmoid,20/04/2020 10:14,32,10,0.43075066005655066,0.7693703770637512,107453.0,104070.0,29973.0,33434.0,0.8747631907463074,0.1973811598628665,0.933140754699707,6797.0,6769.0,499.0,473.0,0.9742236137390137
chebyshev_sigmoid,20/04/2020 10:36,32,10,0.456864464780544,0.762714147567749,106934.0,102759.0,30492.0,34745.0,0.8633711338043213,0.2186034046167815,0.9266749024391174,6818.0,6654.0,478.0,588.0,0.9710984230041504
taylor_tanh,20/04/2020 11:02,32,10,0.19102556412633134,0.9366929531097412,128689.0,128836.0,8737.0,8668.0,0.9756894111633301,0.16420337048890027,0.9475168585777283,6836.0,6939.0,460.0,303.0,0.9802801012992859
chebyshev_tanh,20/04/2020 11:49,32,10,,0.5001345872879028,22.0,137480.0,137404.0,24.0,6.001071994887752e-08,,0.498142808675766,0.0,7242.0,7296.0,0.0,0.0
taylor_relu,20/04/2020 12:12,32,10,0.22460058471303462,0.9288400411605835,128350.0,127016.0,9076.0,10488.0,0.9709113836288452,0.17605654675447394,0.9420828223228455,6892.0,6804.0,404.0,438.0,0.9783837795257568
chebyshev_relu,20/04/2020 12:37,32,10,0.22749574982781323,0.9273815155029297,127865.0,127100.0,9561.0,10404.0,0.970046877861023,0.18141556528628422,0.9378181099891663,6866.0,6768.0,430.0,474.0,0.9773778319358826
chebyshev_integral_relu,20/04/2020 13:03,32,10,0.2528712695130689,0.90024733543396,124089.0,123416.0,13337.0,14088.0,0.9619038105010986,0.1713549026163429,0.9445590972900391,6858.0,6874.0,438.0,368.0,0.9784340262413025
